geographic_area,2010,2011,2012,2013,2014,2015,2016,perc_of_us_pop,2016_total_us_pop	2016_northeast	2016_midwest	2016_south	2016_west
United States	"309,348,193"	"311,663,358"	"313,998,379"	"316,204,908"	"318,563,456"	"320,896,618"	323127513
Northeast	"55,388,056"	"55,632,766"	"55,829,059"	"55,988,771"	"56,116,791"	"56,184,737"	56209510
Midwest	"66,978,602"	"67,153,331"	"67,332,320"	"67,543,948"	"67,726,368"	"67,838,387"	67941429
South	"114,863,114"	"116,061,801"	"117,299,171"	"118,424,320"	"119,696,311"	"121,039,206"	122319574
West	"72,118,421"	"72,815,460"	"73,537,829"	"74,247,869"	"75,023,986"	"75,834,288"	76657000
.Alabama	"4,785,492"	"4,799,918"	"4,815,960"	"4,829,479"	"4,843,214"	"4,853,875"	4863300	1.51%	323127513	56209510	67941429	122319574	76657000
.Alaska	"714,031"	"722,713"	"731,089"	"736,879"	"736,705"	"737,709"	741894	0.23%
.Arizona	"6,408,312"	"6,467,163"	"6,549,634"	"6,624,617"	"6,719,993"	"6,817,565"	6931071	2.14%
.Arkansas	"2,921,995"	"2,939,493"	"2,950,685"	"2,958,663"	"2,966,912"	"2,977,853"	2988248	0.92%
.California	"37,332,685"	"37,676,861"	"38,011,074"	"38,335,203"	"38,680,810"	"38,993,940"	39250017	12.15%
.Colorado	"5,048,644"	"5,118,360"	"5,189,867"	"5,267,603"	"5,349,648"	"5,448,819"	5540545	1.71%
.Connecticut	"3,579,899"	"3,589,893"	"3,593,795"	"3,596,003"	"3,591,873"	"3,584,730"	3576452	1.11%
.Delaware	"899,816"	"907,924"	"916,993"	"925,395"	"934,948"	"944,076"	952065	0.29%
.District of Columbia	"605,183"	"620,477"	"635,327"	"649,165"	"659,005"	"670,377"	681170	0.21%
.Florida	"18,849,098"	"19,096,952"	"19,344,156"	"19,582,022"	"19,888,741"	"20,244,914"	20612439	6.38%
.Georgia	"9,713,521"	"9,811,610"	"9,914,668"	"9,984,938"	"10,087,231"	"10,199,398"	10310371	3.19%
.Hawaii	"1,363,945"	"1,377,864"	"1,391,820"	"1,406,481"	"1,416,349"	"1,425,157"	1428557	0.44%
.Idaho	"1,571,010"	"1,584,143"	"1,595,911"	"1,612,011"	"1,633,532"	"1,652,828"	1683140	0.52%
.Illinois	"12,841,578"	"12,860,012"	"12,870,798"	"12,879,505"	"12,867,544"	"12,839,047"	12801539	3.96%
.Indiana	"6,490,528"	"6,516,480"	"6,537,743"	"6,569,102"	"6,595,233"	"6,612,768"	6633053	2.05%
.Iowa	"3,050,738"	"3,065,223"	"3,076,310"	"3,091,930"	"3,108,030"	"3,121,997"	3134693	0.97%
.Kansas	"2,858,850"	"2,869,503"	"2,885,262"	"2,892,821"	"2,899,360"	"2,906,721"	2907289	0.90%
.Kentucky	"4,348,662"	"4,369,354"	"4,384,799"	"4,400,477"	"4,413,057"	"4,424,611"	4436974	1.37%
